EST +05:00 Tropical Heliocentric Long,Mars - Jupiter, Contract, Open, High, Low, Close, Vol, OI
2/01/1980,341.1,1,2,3,4,5,6,7
3/01/1980,341.46,1,2,3,4,5,6,7
4/01/1980,341.83,1,2,3,4,5,6,7
5/01/1980,342.19,1,2,3,4,5,6,7
6/01/1980,342.57,1,2,3,4,5,6,7
7/01/1980,342.93,1,2,3,4,5,6,7
8/01/1980,343.29,1,2,3,4,5,6,7
9/01/1980,343.65,1,2,3,4,5,6,7
10/01/1980,344.02,1,2,3,4,5,6,7
11/01/1980,344.39,1,2,3,4,5,6,7
12/01/1980,344.75,1,2,3,4,5,6,7
13/01/1980,345.11,1,2,3,4,5,6,7
14/01/1980,345.47,1,2,3,4,5,6,7
15/01/1980,345.84,1,2,3,4,5,6,7
16/01/1980,346.2,1,2,3,4,5,6,7
17/01/1980,346.56,1,2,3,4,5,6,7
18/01/1980,346.92,1,2,3,4,5,6,7
19/01/1980,347.29,1,2,3,4,5,6,7
20/01/1980,347.65,1,2,3,4,5,6,7
21/01/1980,348.01,1,2,3,4,5,6,7
22/01/1980,348.37,1,2,3,4,5,6,7
23/01/1980,348.74,1,2,3,4,5,6,7
24/01/1980,349.1,1,2,3,4,5,6,7
25/01/1980,349.46,1,2,3,4,5,6,7
26/01/1980,349.82,1,2,3,4,5,6,7
27/01/1980,350.19,1,2,3,4,5,6,7
28/01/1980,350.55,1,2,3,4,5,6,7
29/01/1980,350.91,1,2,3,4,5,6,7
30/01/1980,351.27,1,2,3,4,5,6,7
31/01/1980,351.63,1,2,3,4,5,6,7
1/02/1980,351.99,1,2,3,4,5,6,7
2/02/1980,352.35,1,2,3,4,5,6,7
3/02/1980,352.71,1,2,3,4,5,6,7
4/02/1980,353.08,1,2,3,4,5,6,7
5/02/1980,353.43,1,2,3,4,5,6,7
6/02/1980,353.79,1,2,3,4,5,6,7
7/02/1980,354.15,1,2,3,4,5,6,7
8/02/1980,354.52,1,2,3,4,5,6,7
9/02/1980,354.87,1,2,3,4,5,6,7
10/02/1980,355.23,1,2,3,4,5,6,7
11/02/1980,355.59,1,2,3,4,5,6,7
12/02/1980,355.95,1,2,3,4,5,6,7
13/02/1980,356.31,1,2,3,4,5,6,7
14/02/1980,356.67,1,2,3,4,5,6,7
15/02/1980,357.03,1,2,3,4,5,6,7
16/02/1980,357.39,1,2,3,4,5,6,7
17/02/1980,357.75,1,2,3,4,5,6,7
18/02/1980,358.11,1,2,3,4,5,6,7
19/02/1980,358.47,1,2,3,4,5,6,7
20/02/1980,358.83,1,2,3,4,5,6,7
21/02/1980,359.19,1,2,3,4,5,6,7
22/02/1980,359.54,1,2,3,4,5,6,7
23/02/1980,359.91,1,2,3,4,5,6,7
24/02/1980,360.27,1,2,3,4,5,6,7
25/02/1980,360.62,1,2,3,4,5,6,7
26/02/1980,360.98,1,2,3,4,5,6,7
27/02/1980,361.35,1,2,3,4,5,6,7
28/02/1980,361.7,1,2,3,4,5,6,7
29/02/1980,362.06,1,2,3,4,5,6,7
1/03/1980,362.42,1,2,3,4,5,6,7
2/03/1980,362.78,1,2,3,4,5,6,7
3/03/1980,363.14,1,2,3,4,5,6,7
4/03/1980,363.5,1,2,3,4,5,6,7
5/03/1980,363.86,1,2,3,4,5,6,7
6/03/1980,364.22,1,2,3,4,5,6,7
7/03/1980,364.58,1,2,3,4,5,6,7
8/03/1980,364.93,1,2,3,4,5,6,7
9/03/1980,365.3,1,2,3,4,5,6,7
10/03/1980,365.66,1,2,3,4,5,6,7
11/03/1980,366.02,1,2,3,4,5,6,7
12/03/1980,366.37,1,2,3,4,5,6,7
13/03/1980,366.74,1,2,3,4,5,6,7
14/03/1980,367.1,1,2,3,4,5,6,7
15/03/1980,367.45,1,2,3,4,5,6,7
16/03/1980,367.82,1,2,3,4,5,6,7
17/03/1980,368.18,1,2,3,4,5,6,7
18/03/1980,368.54,1,2,3,4,5,6,7
19/03/1980,368.9,1,2,3,4,5,6,7
