EST +05:00 Tropical Heliocentric Long,Venus-Earth, Contract, Open, High, Low, Close, Vol, OI
2/01/1980,258.05,1,2,3,4,5,6,7
3/01/1980,258.63,1,2,3,4,5,6,7
4/01/1980,259.2,1,2,3,4,5,6,7
5/01/1980,259.77,1,2,3,4,5,6,7
6/01/1980,260.34,1,2,3,4,5,6,7
7/01/1980,260.91,1,2,3,4,5,6,7
8/01/1980,261.49,1,2,3,4,5,6,7
9/01/1980,262.06,1,2,3,4,5,6,7
10/01/1980,262.63,1,2,3,4,5,6,7
11/01/1980,263.21,1,2,3,4,5,6,7
12/01/1980,263.78,1,2,3,4,5,6,7
13/01/1980,264.37,1,2,3,4,5,6,7
14/01/1980,264.94,1,2,3,4,5,6,7
15/01/1980,265.52,1,2,3,4,5,6,7
16/01/1980,266.09,1,2,3,4,5,6,7
17/01/1980,266.67,1,2,3,4,5,6,7
18/01/1980,267.25,1,2,3,4,5,6,7
19/01/1980,267.82,1,2,3,4,5,6,7
20/01/1980,268.4,1,2,3,4,5,6,7
21/01/1980,268.99,1,2,3,4,5,6,7
22/01/1980,269.57,1,2,3,4,5,6,7
23/01/1980,270.15,1,2,3,4,5,6,7
24/01/1980,270.72,1,2,3,4,5,6,7
25/01/1980,271.31,1,2,3,4,5,6,7
26/01/1980,271.89,1,2,3,4,5,6,7
27/01/1980,272.48,1,2,3,4,5,6,7
28/01/1980,273.07,1,2,3,4,5,6,7
29/01/1980,273.65,1,2,3,4,5,6,7
30/01/1980,274.24,1,2,3,4,5,6,7
31/01/1980,274.82,1,2,3,4,5,6,7
1/02/1980,275.42,1,2,3,4,5,6,7
2/02/1980,276,1,2,3,4,5,6,7
3/02/1980,276.59,1,2,3,4,5,6,7
4/02/1980,277.18,1,2,3,4,5,6,7
5/02/1980,277.77,1,2,3,4,5,6,7
6/02/1980,278.37,1,2,3,4,5,6,7
7/02/1980,278.95,1,2,3,4,5,6,7
8/02/1980,279.55,1,2,3,4,5,6,7
9/02/1980,280.15,1,2,3,4,5,6,7
10/02/1980,280.74,1,2,3,4,5,6,7
11/02/1980,281.33,1,2,3,4,5,6,7
12/02/1980,281.93,1,2,3,4,5,6,7
13/02/1980,282.53,1,2,3,4,5,6,7
14/02/1980,283.13,1,2,3,4,5,6,7
15/02/1980,283.73,1,2,3,4,5,6,7
16/02/1980,284.33,1,2,3,4,5,6,7
17/02/1980,284.93,1,2,3,4,5,6,7
18/02/1980,285.53,1,2,3,4,5,6,7
19/02/1980,286.13,1,2,3,4,5,6,7
20/02/1980,286.73,1,2,3,4,5,6,7
21/02/1980,287.33,1,2,3,4,5,6,7
22/02/1980,287.95,1,2,3,4,5,6,7
23/02/1980,288.55,1,2,3,4,5,6,7
24/02/1980,289.16,1,2,3,4,5,6,7
25/02/1980,289.77,1,2,3,4,5,6,7
26/02/1980,290.38,1,2,3,4,5,6,7
27/02/1980,290.99,1,2,3,4,5,6,7
28/02/1980,291.6,1,2,3,4,5,6,7
29/02/1980,292.21,1,2,3,4,5,6,7
1/03/1980,292.83,1,2,3,4,5,6,7
2/03/1980,293.44,1,2,3,4,5,6,7
3/03/1980,294.06,1,2,3,4,5,6,7
4/03/1980,294.67,1,2,3,4,5,6,7
5/03/1980,295.29,1,2,3,4,5,6,7
6/03/1980,295.91,1,2,3,4,5,6,7
7/03/1980,296.53,1,2,3,4,5,6,7
8/03/1980,297.15,1,2,3,4,5,6,7
9/03/1980,297.77,1,2,3,4,5,6,7
10/03/1980,298.39,1,2,3,4,5,6,7
11/03/1980,299.02,1,2,3,4,5,6,7
12/03/1980,299.64,1,2,3,4,5,6,7
13/03/1980,300.27,1,2,3,4,5,6,7
14/03/1980,300.89,1,2,3,4,5,6,7
15/03/1980,301.51,1,2,3,4,5,6,7
16/03/1980,302.15,1,2,3,4,5,6,7
