Start Date = 23/10/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 24/10/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 25/10/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 26/10/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 27/10/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 28/10/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 29/10/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 30/10/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 31/10/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 1/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 2/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 3/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 4/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 5/11/1994 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 6/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 7/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 8/11/1994 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 9/11/1994 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 10/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 11/11/1994 12:00:00 PM, length = 240, No. of Hits = 5, Error/Hit = 0, No. of Octave notes = 15
Start Date = 12/11/1994 12:00:00 PM, length = 240, No. of Hits = 5, Error/Hit = 0, No. of Octave notes = 15
Start Date = 13/11/1994 12:00:00 PM, length = 240, No. of Hits = 5, Error/Hit = 0, No. of Octave notes = 15
Start Date = 14/11/1994 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 15/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 16/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 17/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 18/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 19/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 20/11/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 21/11/1994 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 22/11/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 23/11/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 24/11/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 25/11/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 26/11/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 27/11/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 28/11/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 29/11/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 30/11/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 1/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 2/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 3/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 4/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 5/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 6/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 7/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 8/12/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 9/12/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 10/12/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 11/12/1994 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 15
Start Date = 12/12/1994 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 15
Start Date = 13/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 14/12/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 15/12/1994 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 16/12/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 17/12/1994 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 15
Start Date = 18/12/1994 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 15
Start Date = 19/12/1994 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 15
Start Date = 20/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 21/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 22/12/1994 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 15
Start Date = 23/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 24/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 25/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 26/12/1994 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 27/12/1994 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 28/12/1994 12:00:00 PM, length = 240, No. of Hits = 5, Error/Hit = 0, No. of Octave notes = 15
Start Date = 29/12/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 30/12/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 31/12/1994 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 1/01/1995 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 2/01/1995 12:00:00 PM, length = 240, No. of Hits = 5, Error/Hit = 0, No. of Octave notes = 15
Start Date = 3/01/1995 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 4/01/1995 12:00:00 PM, length = 240, No. of Hits = 4, Error/Hit = 0, No. of Octave notes = 15
Start Date = 5/01/1995 12:00:00 PM, length = 240, No. of Hits = 4, Error/Hit = 0, No. of Octave notes = 15
Start Date = 6/01/1995 12:00:00 PM, length = 240, No. of Hits = 4, Error/Hit = 0, No. of Octave notes = 15
Start Date = 7/01/1995 12:00:00 PM, length = 240, No. of Hits = 4, Error/Hit = 0, No. of Octave notes = 15
Start Date = 8/01/1995 12:00:00 PM, length = 240, No. of Hits = 4, Error/Hit = 0, No. of Octave notes = 15
Start Date = 9/01/1995 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0, No. of Octave notes = 15
Start Date = 10/01/1995 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 11/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 12/01/1995 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0, No. of Octave notes = 15
Start Date = 13/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 14/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 15/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 16/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 17/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 18/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 19/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 20/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 21/01/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 22/01/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 15
Start Date = 23/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 15
Start Date = 24/01/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.8, No. of Octave notes = 15
Start Date = 25/01/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.636363636363636, No. of Octave notes = 15
Start Date = 26/01/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0.666666666666667, No. of Octave notes = 15
Start Date = 27/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0.625, No. of Octave notes = 15
Start Date = 28/01/1995 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0.571428571428571, No. of Octave notes = 15
Start Date = 29/01/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0.375, No. of Octave notes = 15
Start Date = 30/01/1995 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0.333333333333333, No. of Octave notes = 15
Start Date = 31/01/1995 12:00:00 PM, length = 240, No. of Hits = 6, Error/Hit = 0.166666666666667, No. of Octave notes = 15
Start Date = 1/02/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 15
Start Date = 2/02/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0.111111111111111, No. of Octave notes = 15
Start Date = 3/02/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0.25, No. of Octave notes = 15
Start Date = 4/02/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.272727272727273, No. of Octave notes = 15
Start Date = 5/02/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.363636363636364, No. of Octave notes = 15
Start Date = 6/02/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.454545454545455, No. of Octave notes = 15
Start Date = 7/02/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.6, No. of Octave notes = 15
Start Date = 8/02/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.7, No. of Octave notes = 15
Start Date = 9/02/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0.666666666666667, No. of Octave notes = 15
Start Date = 10/02/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 14
Start Date = 11/02/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 12/02/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
Start Date = 13/02/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
Start Date = 14/02/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 14
Start Date = 15/02/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
