Date, Open, High, Low, Close, Volume, Minor Trend, Major Trend, Pivot Price, Interpolated Pivot Price, Cumulative Volume
04/02/2021, 84.13, 87.91, 83.4623, 87.49, 28500, Unknown, Unknown, 83.4623, 83.4623, , 28500
05/02/2021, 88.42, 89.99, 86.91, 89.66, 23400, Unknown, Unknown, , 85.281725, , 23400
06/02/2021, , , , , , Unknown, Unknown, , 87.101150, , 
07/02/2021, , , , , , Unknown, Unknown, , 88.920575, , 
08/02/2021, 89.83, 90.74, 88.5049, 89.74, 43900, Up, Unknown, 90.74, 90.74, 4, 67300
09/02/2021, 89.93, 90.425, 83.74, 83.74, 37200, Up, Unknown, , 90.06777777777777777777777778, , 37200
10/02/2021, 84.46, 86.8637, 82.2948, 83.1, 44600, Down, Unknown, , 89.39555555555555555555555556, , 81800
11/02/2021, 82.65, 83.64, 80.59, 81.62, 25400, Down, Unknown, , 88.72333333333333333333333333, , 107200
12/02/2021, 80.35, 83.05, 79, 83.05, 35200, Down, Unknown, , 88.05111111111111111111111111, , 142400
13/02/2021, , , , , , Down, Unknown, , 87.37888888888888888888888889, , 
14/02/2021, , , , , , Down, Unknown, , 86.70666666666666666666666667, , 
15/02/2021, , , , , , Down, Unknown, , 86.03444444444444444444444444, , 
16/02/2021, 83.47, 83.99, 80.36, 80.36, 21700, Down, Unknown, , 85.36222222222222222222222222, , 164100
17/02/2021, 80.6, 82.62, 79.85, 81.75, 25500, Down, Unknown, , 84.69000000000000000000000000, , 189600
18/02/2021, 80.84, 82.38, 79.818, 80.17, 28000, Down, Unknown, , 84.01777777777777777777777778, , 217600
19/02/2021, 80.25, 84.7744, 80.25, 83.76, 31800, Down, Unknown, , 83.34555555555555555555555556, , 249400
20/02/2021, , , , , , Down, Unknown, , 82.67333333333333333333333333, , 
21/02/2021, , , , , , Down, Unknown, , 82.00111111111111111111111111, , 
22/02/2021, 82.73, 84.02, 82.05, 83.54, 27500, Down, Unknown, , 81.32888888888888888888888889, , 276900
23/02/2021, 81.72, 83.88, 80.22, 81.92, 29200, Down, Unknown, , 80.65666666666666666666666667, , 306100
24/02/2021, 81.72, 82.6724, 80.55, 81.15, 24900, Down, Unknown, , 79.98444444444444444444444444, , 331000
25/02/2021, 81.58, 82.42, 79.4, 79.58, 22500, Down, Unknown, , 79.31222222222222222222222222, , 353500
26/02/2021, 78.64, 82.28, 78.64, 79.02, 30800, Down, Unknown, 78.64, 78.64, 18, 384300
27/02/2021, , , , , , Down, Unknown, , 80.5425, , 
28/02/2021, , , , , , Down, Unknown, , 82.4450, , 
01/03/2021, 80.31, 85.53, 79.06, 85.2, 30300, Down, Unknown, , 84.3475, , 30300
02/03/2021, 84.98, 86.25, 84.55, 84.74, 34300, Up, Down, 86.25, 86.25, 4, 64600
03/03/2021, 85.09, 86, 83.49, 85.88, 28400, Up, Down, , 85.41846153846153846153846154, , 28400
04/03/2021, 85.57, 85.8063, 81.51, 81.73, 24000, Down, Down, , 84.58692307692307692307692308, , 52400
05/03/2021, 83.05, 83.05, 79.5407, 83.02, 26600, Down, Down, , 83.75538461538461538461538462, , 79000
06/03/2021, , , , , , Down, Down, , 82.92384615384615384615384615, , 
07/03/2021, , , , , , Down, Down, , 82.09230769230769230769230769, , 
08/03/2021, 82.82, 82.82, 79.84, 82.25, 34400, Down, Down, , 81.26076923076923076923076923, , 113400
09/03/2021, 82, 85.8, 80.06, 80.57, 49400, Down, Down, , 80.42923076923076923076923077, , 162800
10/03/2021, 80.1, 83.57, 79.795, 80.66, 39100, Down, Down, , 79.59769230769230769230769231, , 201900
11/03/2021, 80.86, 82.93, 79.54, 80.15, 54500, Down, Down, , 78.766153846153846153846153846, , 256400
12/03/2021, 80.01, 80.01, 77.2501, 78.23, 21300, Down, Down, , 77.934615384615384615384615385, , 277700
13/03/2021, , , , , , Down, Down, , 77.103076923076923076923076924, , 
14/03/2021, , , , , , Down, Down, , 76.271538461538461538461538462, , 
15/03/2021, 77.29, 78.83, 75.44, 78.4, 32600, Down, Down, 75.44, 75.44, 13, 310300
16/03/2021, 77.66, 80.93, 77, 80.23, 56300, Down, Down, , 77.082857142857142857142857143, , 56300
17/03/2021, 79.81, 80.22, 77.62, 79.68, 20000, Down, Down, , 78.725714285714285714285714286, , 76300
18/03/2021, 80.03, 82.16, 79.02, 80.03, 29900, Down, Down, , 80.36857142857142857142857143, , 106200
19/03/2021, 80.66, 85.44, 80.39, 84.73, 111300, Up, Down, , 82.01142857142857142857142857, , 217500
20/03/2021, , , , , , Up, Down, , 83.65428571428571428571428571, , 
21/03/2021, , , , , , Up, Down, , 85.29714285714285714285714286, , 
22/03/2021, 85, 86.94, 83.18, 85.92, 38100, Up, Up, 86.94, 86.94, 7, 255600
23/03/2021, 85.92, 85.92, 82.66, 84.05, 21000, Up, Up, , 85.705, , 21000
24/03/2021, 84.33, 84.33, 82.18, 82.55, 20900, Down, Up, , 84.470, , 41900
25/03/2021, 80.04, 82.84, 79.54, 82.54, 12300, Down, Up, , 83.235, , 54200
26/03/2021, 82.54, 84.46, 80.42, 81.47, 39400, Down, Up, , 82.000, , 93600
27/03/2021, , , , , , Down, Up, , 80.765, , 
28/03/2021, , , , , , Down, Up, , 79.530, , 
29/03/2021, 80.84, 81.625, 78.43, 80, 53600, Down, Up, , 78.295, , 147200
30/03/2021, 79.94, 80.14, 77.06, 78.71, 32100, Down, Up, 77.06, 77.06, 8, 179300
31/03/2021, 78.02, 80.27, 77.3, 77.5, 47700, Down, Up, , 77.741666666666666666666666667, , 47700
01/04/2021, 77.66, 80.52, 77.66, 79.41, 30200, Up, Up, , 78.423333333333333333333333333, , 77900
02/04/2021, , , , , , Up, Up, , 79.105000000000000000000000000, , 
03/04/2021, , , , , , Up, Up, , 79.78666666666666666666666667, , 
04/04/2021, , , , , , Up, Up, , 80.46833333333333333333333333, , 
05/04/2021, 80.11, 81.15, 78.526, 80.1, 21700, Up, Up, 81.15, 81.15, 6, 99600
06/04/2021, 79.67, 80.1, 78, 79.64, 39700, Up, Up, , 78.815, , 39700
07/04/2021, 79.9, 79.9, 76.48, 76.94, 29500, Down, Down, 76.48, 76.48, 2, 69200
08/04/2021, 76.6, 80.4, 76.6, 80.33, 38800, Down, Down, , 77.895, , 38800
