Date,Formatted Date,Open,High,Low,Close,Volume,*Ajust Close,,
19720601,1/06/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,Note: This data has been adjusted for spilts
19720602,2/06/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19720605,5/06/1972,3.058599938,3.058599938,3.058599938,3.058599938,0,3.058599938,,
19720606,6/06/1972,3.109400031,3.109400031,3.109400031,3.109400031,0,3.109400031,,
19720607,7/06/1972,3.125,3.125,3.125,3.125,0,3.125,,
19720608,8/06/1972,3.093800063,3.093800063,3.093800063,3.093800063,0,3.093800063,,
19720609,9/06/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19720612,12/06/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19720613,13/06/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720614,14/06/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720615,15/06/1972,3.031300063,3.031300063,3.031300063,3.031300063,0,3.031300063,,
19720616,16/06/1972,3.0235,3.0235,3.0235,3.0235,0,3.0235,,
19720619,19/06/1972,3,3,3,3,0,3,,
19720620,20/06/1972,3.039099938,3.039099938,3.039099938,3.039099938,0,3.039099938,,
19720621,21/06/1972,3,3,3,3,0,3,,
19720622,22/06/1972,3.0079,3.0079,3.0079,3.0079,0,3.0079,,
19720623,23/06/1972,3.0235,3.0235,3.0235,3.0235,0,3.0235,,
19720626,26/06/1972,3.0235,3.0235,3.0235,3.0235,0,3.0235,,
19720627,27/06/1972,3.0079,3.0079,3.0079,3.0079,0,3.0079,,
19720628,28/06/1972,2.964900031,2.964900031,2.964900031,2.964900031,0,2.964900031,,
19720629,29/06/1972,2.953200094,2.953200094,2.953200094,2.953200094,0,2.953200094,,
19720630,30/06/1972,2.914099938,2.914099938,2.914099938,2.914099938,0,2.914099938,,
19720703,3/07/1972,2.9454,2.9454,2.9454,2.9454,0,2.9454,,
19720704,4/07/1972,2.9454,2.9454,2.9454,2.9454,0,2.9454,,
19720705,5/07/1972,2.984400031,2.984400031,2.984400031,2.984400031,0,2.984400031,,
19720706,6/07/1972,3.019599906,3.019599906,3.019599906,3.019599906,0,3.019599906,,
19720707,7/07/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19720710,10/07/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720711,11/07/1972,3.050800094,3.050800094,3.050800094,3.050800094,0,3.050800094,,
19720712,12/07/1972,3.0704,3.0704,3.0704,3.0704,0,3.0704,,
19720713,13/07/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19720714,14/07/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720717,17/07/1972,2.941499938,2.941499938,2.941499938,2.941499938,0,2.941499938,,
19720718,18/07/1972,2.9375,2.9375,2.9375,2.9375,0,2.9375,,
19720719,19/07/1972,3,3,3,3,0,3,,
19720720,20/07/1972,2.953200094,2.953200094,2.953200094,2.953200094,0,2.953200094,,
19720721,21/07/1972,2.976599938,2.976599938,2.976599938,2.976599938,0,2.976599938,,
19720724,24/07/1972,2.988300094,2.988300094,2.988300094,2.988300094,0,2.988300094,,
19720725,25/07/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720726,26/07/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19720727,27/07/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19720728,28/07/1972,3.035200125,3.035200125,3.035200125,3.035200125,0,3.035200125,,
19720731,31/07/1972,3.015700094,3.015700094,3.015700094,3.015700094,0,3.015700094,,
19720801,1/08/1972,3,3,3,3,0,3,,
19720802,2/08/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19720803,3/08/1972,3.101599938,3.101599938,3.101599938,3.101599938,0,3.101599938,,
19720804,4/08/1972,3.093800063,3.093800063,3.093800063,3.093800063,0,3.093800063,,
19720807,7/08/1972,3.101599938,3.101599938,3.101599938,3.101599938,0,3.101599938,,
19720808,8/08/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19720809,9/08/1972,3.031300063,3.031300063,3.031300063,3.031300063,0,3.031300063,,
19720810,10/08/1972,3.050800094,3.050800094,3.050800094,3.050800094,0,3.050800094,,
19720811,11/08/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19720814,14/08/1972,3.1563,3.1563,3.1563,3.1563,0,3.1563,,
19720815,15/08/1972,3.1719,3.1719,3.1719,3.1719,0,3.1719,,
19720816,16/08/1972,3.117199906,3.117199906,3.117199906,3.117199906,0,3.117199906,,
19720817,17/08/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19720818,18/08/1972,3.093800063,3.093800063,3.093800063,3.093800063,0,3.093800063,,
19720821,21/08/1972,3.050800094,3.050800094,3.050800094,3.050800094,0,3.050800094,,
19720822,22/08/1972,3.058599938,3.058599938,3.058599938,3.058599938,0,3.058599938,,
19720823,23/08/1972,2.988300094,2.988300094,2.988300094,2.988300094,0,2.988300094,,
19720824,24/08/1972,2.996099938,2.996099938,2.996099938,2.996099938,0,2.996099938,,
19720825,25/08/1972,2.988300094,2.988300094,2.988300094,2.988300094,0,2.988300094,,
19720828,28/08/1972,2.992199906,2.992199906,2.992199906,2.992199906,0,2.992199906,,
19720829,29/08/1972,3.011800063,3.011800063,3.011800063,3.011800063,0,3.011800063,,
19720830,30/08/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720831,31/08/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720901,1/09/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19720904,4/09/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19720905,5/09/1972,3.097700125,3.097700125,3.097700125,3.097700125,0,3.097700125,,
19720906,6/09/1972,3.066499938,3.066499938,3.066499938,3.066499938,0,3.066499938,,
19720907,7/09/1972,3.074300063,3.074300063,3.074300063,3.074300063,0,3.074300063,,
19720908,8/09/1972,3.066499938,3.066499938,3.066499938,3.066499938,0,3.066499938,,
19720911,11/09/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720912,12/09/1972,3.003999938,3.003999938,3.003999938,3.003999938,0,3.003999938,,
19720913,13/09/1972,3.015700094,3.015700094,3.015700094,3.015700094,0,3.015700094,,
19720914,14/09/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720915,15/09/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19720918,18/09/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720919,19/09/1972,3.046900031,3.046900031,3.046900031,3.046900031,0,3.046900031,,
19720920,20/09/1972,3.039099938,3.039099938,3.039099938,3.039099938,0,3.039099938,,
19720921,21/09/1972,3.0079,3.0079,3.0079,3.0079,0,3.0079,,
19720922,22/09/1972,3.0235,3.0235,3.0235,3.0235,0,3.0235,,
19720925,25/09/1972,2.992199906,2.992199906,2.992199906,2.992199906,0,2.992199906,,
19720926,26/09/1972,3.011800063,3.011800063,3.011800063,3.011800063,0,3.011800063,,
19720927,27/09/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720928,28/09/1972,3.027400031,3.027400031,3.027400031,3.027400031,0,3.027400031,,
19720929,29/09/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19721002,2/10/1972,3.097700125,3.097700125,3.097700125,3.097700125,0,3.097700125,,
19721003,3/10/1972,3.066499938,3.066499938,3.066499938,3.066499938,0,3.066499938,,
19721004,4/10/1972,3.043,3.043,3.043,3.043,0,3.043,,
19721005,5/10/1972,3.031300063,3.031300063,3.031300063,3.031300063,0,3.031300063,,
19721006,6/10/1972,3.054699906,3.054699906,3.054699906,3.054699906,0,3.054699906,,
19721009,9/10/1972,3.0625,3.0625,3.0625,3.0625,0,3.0625,,
19721010,10/10/1972,3.121099938,3.121099938,3.121099938,3.121099938,0,3.121099938,,
19721011,11/10/1972,3.121099938,3.121099938,3.121099938,3.121099938,0,3.121099938,,
19721012,12/10/1972,3.0704,3.0704,3.0704,3.0704,0,3.0704,,
19721013,13/10/1972,3.0235,3.0235,3.0235,3.0235,0,3.0235,,
19721016,16/10/1972,3.031300063,3.031300063,3.031300063,3.031300063,0,3.031300063,,
19721017,17/10/1972,3.031300063,3.031300063,3.031300063,3.031300063,0,3.031300063,,
19721018,18/10/1972,3.074300063,3.074300063,3.074300063,3.074300063,0,3.074300063,,
19721019,19/10/1972,3.093800063,3.093800063,3.093800063,3.093800063,0,3.093800063,,
19721020,20/10/1972,3.101599938,3.101599938,3.101599938,3.101599938,0,3.101599938,,
19721023,23/10/1972,3.125,3.125,3.125,3.125,0,3.125,,
19721024,24/10/1972,3.078200094,3.078200094,3.078200094,3.078200094,0,3.078200094,,
19721025,25/10/1972,3.0704,3.0704,3.0704,3.0704,0,3.0704,,
19721026,26/10/1972,3.109400031,3.109400031,3.109400031,3.109400031,0,3.109400031,,
